website_type,tracking_type,tracking_number,Y,Y_predicted
EVERGREEN,BOOKING_NUMBER,020300329542,11,11
ONE,CONTAINER_NUMBER,BMOU1458031,34,34
NAMSUNG,CONTAINER_NUMBER,CAIU6957990,31,29
OOCL,BOOKING_NUMBER,2726229060,36,36
HAPAGLLOYD,BOOKING_NUMBER,72213697,16,16
EVERGREEN,BOOKING_NUMBER,024300058002,11,11
ONE,BOOKING_NUMBER,TYOD93964600,33,33
MSC,CONTAINER_NUMBER,FCIU8815313,29,29
OOCL,BILL_OF_LOADING_NUMBER,OOLU8892726470,35,35
MSC,CONTAINER_NUMBER,CAAU5672666,29,31
MSC,CONTAINER_NUMBER,IKSU4131330,29,34
CMACGM,BOOKING_NUMBER,AMP0446749,2,2
OOCL,CONTAINER_NUMBER,OOLU0142189,37,37
OOCL,BOOKING_NUMBER,2712106930,36,36
ONE,BOOKING_NUMBER,NGOD17238900,33,33
MSC,BOOKING_NUMBER,206ITY0059433,28,28
MSC,BOOKING_NUMBER,206ITY0056960 ,28,28
OOCL,CONTAINER_NUMBER,OOLU0910707,37,37
COSCO,BOOKING_NUMBER,5158628810,5,5
SEALAND,CONTAINER_NUMBER,MRKU8205274,40,24
ONE,BOOKING_NUMBER,TYOD56866600,33,33
WANHAI,BOOKING_NUMBER,011DA06052,43,43
ONE,CONTAINER_NUMBER,TLLU5507144,34,31
MAERSK,BILL_OF_LOADING_NUMBER,231491636,24,25
WANHAI,CONTAINER_NUMBER,WHSU6090693,44,44
MSC,CONTAINER_NUMBER,MSDU5029429,29,29
ONE,BOOKING_NUMBER,TYOD94470600,33,33
EVERGREEN,BILL_OF_LOADING_NUMBER,554310008592,10,10
CMACGM,BOOKING_NUMBER,CGP0262177,2,2
EVERGREEN,BOOKING_NUMBER,020300404340,11,11
WANHAI,CONTAINER_NUMBER,WHLU0702688,44,31
WANHAI,BOOKING_NUMBER,035CX55652,43,43
ONE,CONTAINER_NUMBER,TRHU6688517,34,29
MSC,CONTAINER_NUMBER,MEDU4325060,29,29
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCHMC2200062,30,30
ONE,BOOKING_NUMBER,BKKD98620500,33,33
EVERGREEN,BOOKING_NUMBER,020300173879,11,11
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCTAC2200054,30,30
HMM,BOOKING_NUMBER,DALA05286800,19,19
OOCL,BOOKING_NUMBER,2726335020,36,36
HAPAGLLOYD,CONTAINER_NUMBER,UASU1074650,17,34
ONE,CONTAINER_NUMBER,TTNU8806808,34,31
NAMSUNG,BILL_OF_LOADING_NUMBER, NSSLLCYMC2200004,30,35
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCHKC2200112,30,30
WANHAI,BOOKING_NUMBER,035DX07394,43,42
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCHKC2200239,30,30
KMTC,BOOKING_NUMBER,JP01042217,22,22
ONE,BILL_OF_LOADING_NUMBER,GOAD27918600,32,32
WANHAI,BOOKING_NUMBER,035CX59056,43,43
COSCO,BILL_OF_LOADING_NUMBER,6356766430,4,5
YANGMING,BOOKING_NUMBER,YMFBCN0058307,48,48
SEALAND,BOOKING_NUMBER,MRKU7057927,39,29
MSC,CONTAINER_NUMBER,MSDU7147462,29,29
ONE,CONTAINER_NUMBER,BMOU3143413,34,44
EVERGREEN,BOOKING_NUMBER,560300517382,11,11
EVERGREEN,BOOKING_NUMBER,020300256979,11,11
ONE,CONTAINER_NUMBER,TGHU5277757,34,29
MAERSK,BOOKING_NUMBER,231820797,25,25
MSC,CONTAINER_NUMBER,MEDU7075529,29,29
YANGMING,BOOKING_NUMBER,IL0025866,48,22
ONE,CONTAINER_NUMBER,OTPU6308326,34,29
WESTWOOD,BILL_OF_LOADING_NUMBER,MR057FSTM024,45,45
ONE,BOOKING_NUMBER,BKKCAU136700,33,33
MSC,CONTAINER_NUMBER,TGBU4678516,29,37
ONE,BOOKING_NUMBER,SIND49290900,33,33
WANHAI,BOOKING_NUMBER,008DX45657,43,43
YANGMING,BILL_OF_LOADING_NUMBER,YMLUM912046687,47,47
ONE,CONTAINER_NUMBER,NYKU9862828,34,34
OOCL,CONTAINER_NUMBER,OOLU1922256,37,37
WANHAI,CONTAINER_NUMBER,WHSU2620619,44,44
HAPAGLLOYD,BOOKING_NUMBER,61240687,16,16
MSC,CONTAINER_NUMBER,MSMU4615144,29,29
MAERSK,CONTAINER_NUMBER,MRKU8205274,26,24
EVERGREEN,BOOKING_NUMBER,020300404366,11,11
MSC,BILL_OF_LOADING_NUMBER,MEDUGN593322,27,27
MSC,CONTAINER_NUMBER,MSMU4476917,29,29
WANHAI,CONTAINER_NUMBER,WHSU2782327,44,44
HAPAGLLOYD,BOOKING_NUMBER,72610229,16,16
HMM,CONTAINER_NUMBER,GAOU2094294,20,17
HAPAGLLOYD,BOOKING_NUMBER,71505440,16,16
MSC,CONTAINER_NUMBER, CAIU7843272,29,29
YANGMING,BOOKING_NUMBER,YMFBCN0060737,48,48
EVERGREEN,BOOKING_NUMBER,020300146146,11,11
OOCL,CONTAINER_NUMBER,CAIU6030175,37,29
MSC,BILL_OF_LOADING_NUMBER,MEDUGN612767,27,27
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCSDC2200160,30,30
MSC,CONTAINER_NUMBER,bSIU9424141,29,31
OOCL,BOOKING_NUMBER,4119345600,36,36
MSC,CONTAINER_NUMBER,MSCU4370720,29,29
WANHAI,BOOKING_NUMBER,035DX31923,43,43
MSC,CONTAINER_NUMBER,BEAU4265788,29,31
WANHAI,BOOKING_NUMBER,035DX51956,43,43
WANHAI,BOOKING_NUMBER,035CX65004,43,43
MSC,CONTAINER_NUMBER,CRXU4518742,29,34
MSC,CONTAINER_NUMBER,MEDU4198432,29,29
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCTMC2200076,30,30
YANGMING,BOOKING_NUMBER,N272039864,48,48
EVERGREEN,BOOKING_NUMBER,020300259757,11,11
EVERGREEN,BOOKING_NUMBER,024300069667,11,11
OOCL,BILL_OF_LOADING_NUMBER,OOLU2718424930,35,35
MSC,CONTAINER_NUMBER,GLDU4099171,29,37
EVERGREEN,BOOKING_NUMBER,020300186385,11,11
ONE,BILL_OF_LOADING_NUMBER,NGOD24180300,32,32
WANHAI,CONTAINER_NUMBER,WHLU0245982,44,44
YANGMING,BOOKING_NUMBER,N272036517,48,48
ONE,BOOKING_NUMBER,BKKCY7323800,33,33
EVERGREEN,BOOKING_NUMBER,020300381803,11,11
HAPAGLLOYD,BILL_OF_LOADING_NUMBER,HLCUBSC2309BBTP8,15,15
ONE,BILL_OF_LOADING_NUMBER,RTMD19857500,32,32
MSC,CONTAINER_NUMBER,CAAU5912330,29,29
ONE,CONTAINER_NUMBER,TCLU6242421,34,34
NAMSUNG,CONTAINER_NUMBER,NSSU0094591,31,31
WANHAI,CONTAINER_NUMBER,WHSU2677569,44,44
EVERGREEN,BILL_OF_LOADING_NUMBER,550300089898,10,10
OOCL,CONTAINER_NUMBER,CSLU1613205,37,37
MAERSK,BOOKING_NUMBER,227495157,25,39
COSCO,BILL_OF_LOADING_NUMBER,6363960700,4,5
YANGMING,BILL_OF_LOADING_NUMBER,YMLUN710614655,47,47
WANHAI,CONTAINER_NUMBER,WHSU6184555,44,44
MAERSK,BILL_OF_LOADING_NUMBER,MAEU230496114,24,24
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCHKC2200214,30,30
MSC,BOOKING_NUMBER,206ITY0057486,28,28
ONE,BOOKING_NUMBER,RICDCU747500,33,32
MSC,BILL_OF_LOADING_NUMBER,MEDUG7651649,27,27
WANHAI,CONTAINER_NUMBER,BEAU5896643,44,31
MSC,CONTAINER_NUMBER,BMOU3004383,29,44
MSC,CONTAINER_NUMBER,CAAU5103079,29,29
ONE,BILL_OF_LOADING_NUMBER,DACD20130400,32,32
MSC,BOOKING_NUMBER,EBKG05104801,28,28
WANHAI,CONTAINER_NUMBER,WHSU2637566,44,44
KMTC,CONTAINER_NUMBER,SEGU2466240,23,23
CMACGM,BILL_OF_LOADING_NUMBER,GEN1571675,1,2
WANHAI,BOOKING_NUMBER,114D000381,43,43
MSC,CONTAINER_NUMBER,MEDU7167245,29,29
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCNIC2200080,30,30
HAMBURGSUD,BOOKING_NUMBER,3SYD004375,13,35
WANHAI,BOOKING_NUMBER,035CX20603,43,43
MSC,CONTAINER_NUMBER,MSDU4516525,29,29
ONE,CONTAINER_NUMBER,NYKU3739436,34,34
HAPAGLLOYD,BILL_OF_LOADING_NUMBER,HLCUHAM2306AVEN0,15,15
EVERGREEN,BILL_OF_LOADING_NUMBER,550300072031,10,10
MSC,CONTAINER_NUMBER,MSDU7066782,29,29
OOCL,CONTAINER_NUMBER,OOLU0490100,37,37
SEALAND,BOOKING_NUMBER,227915014,39,39
NAMSUNG,CONTAINER_NUMBER,TRHU4102144,31,31
MSC,BILL_OF_LOADING_NUMBER,MEDULZ824102,27,27
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCNIC2200042,30,30
KMTC,BOOKING_NUMBER,JP01043116,22,22
EVERGREEN,BOOKING_NUMBER,020300353435,11,11
ONE,BOOKING_NUMBER,BKKDJ0762300,33,33
EVERGREEN,BOOKING_NUMBER,050100587671,11,11
KMTC,BILL_OF_LOADING_NUMBER,LCH3938188,21,1
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCTMC2200085,30,30
OOCL,BILL_OF_LOADING_NUMBER,OOLU2300760400,35,35
ONE,BOOKING_NUMBER,TYOD60257900 ,33,33
MSC,CONTAINER_NUMBER,CAIU7831667,29,29
EVERGREEN,BILL_OF_LOADING_NUMBER,550300077296,10,10
ONE,BOOKING_NUMBER,SIND18302600,33,33
MSC,BOOKING_NUMBER,206ITY0054619,28,28
ONE,BOOKING_NUMBER,TYOD61733900,33,33
MAERSK,CONTAINER_NUMBER,SUDU6883302,26,34
MSC,CONTAINER_NUMBER,FDCU0296090,29,29
WANHAI,BOOKING_NUMBER,035CX44750,43,43
MSC,CONTAINER_NUMBER,TCLU5282688,29,34
WANHAI,BOOKING_NUMBER,035CX73740,43,43
WANHAI,CONTAINER_NUMBER,WHLU0576996,44,44
MSC,CONTAINER_NUMBER,MSMU6473141,29,29
EVERGREEN,BOOKING_NUMBER,020300168743,11,11
MSC,BOOKING_NUMBER,EBKG05414479,28,28
OOCL,CONTAINER_NUMBER,OOLU0681030,37,37
MSC,CONTAINER_NUMBER,TEMU8700623,29,29
EVERGREEN,BOOKING_NUMBER,504100019468,11,11
COSCO,BOOKING_NUMBER,5158619930,5,5
KMTC,BOOKING_NUMBER,JP01030046,22,22
WANHAI,BOOKING_NUMBER,035CX73751,43,43
MSC,BILL_OF_LOADING_NUMBER,MEDUGN742242,27,27
MSC,CONTAINER_NUMBER,MSMU7725551,29,29
MSC,BOOKING_NUMBER,EBKG05134136,28,28
ONE,BOOKING_NUMBER,TYODF0300500,33,33
COSCO,BOOKING_NUMBER,5158672260,5,5
NAMSUNG,CONTAINER_NUMBER,BMOU1393305,31,34
ONE,BOOKING_NUMBER,SIND26429800,33,33
WANHAI,BOOKING_NUMBER,114D000410,43,43
COSCO,CONTAINER_NUMBER,CBHU4306095,6,29
OOCL,CONTAINER_NUMBER,TGBU4786640,37,37
OOCL,CONTAINER_NUMBER,OOLU0183552,37,37
ONE,BOOKING_NUMBER,NGOD25771300,33,33
YANGMING,BOOKING_NUMBER,YMFCPH0026663,48,48
MSC,CONTAINER_NUMBER,TCLU5640117,29,29
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCSDC2200171,30,30
MSC,BOOKING_NUMBER,206ITY0058539 ,28,28
ONE,BOOKING_NUMBER,BKKDJ0741700,33,33
OOCL,CONTAINER_NUMBER,OOLU1793436,37,37
WANHAI,CONTAINER_NUMBER,WHSU2878033,44,44
MSC,CONTAINER_NUMBER,TEMU8563829,29,29
ONE,CONTAINER_NUMBER,NYKU9893984,34,34
ONE,BILL_OF_LOADING_NUMBER,RTMD24088400,32,32
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCNIC2200010,30,30
MAERSK,BILL_OF_LOADING_NUMBER,231092962,24,25
MSC,BOOKING_NUMBER,EBKG05762796,28,28
WANHAI,BILL_OF_LOADING_NUMBER,035DX29410,42,43
NAMSUNG,CONTAINER_NUMBER,TCLU1960030,31,34
OOCL,BOOKING_NUMBER,4115112080,36,36
WANHAI,BILL_OF_LOADING_NUMBER,035DX51948,42,43
MSC,BILL_OF_LOADING_NUMBER,MEDUTX262024,27,27
EVERGREEN,BOOKING_NUMBER,020300149862,11,11
MSC,CONTAINER_NUMBER,MEDURI586195,29,29
ONE,CONTAINER_NUMBER,OTPU6308326,34,29
YANGMING,BOOKING_NUMBER,I488266744,48,48
WANHAI,BOOKING_NUMBER,035DX50459,43,42
DONGJIN,BOOKING_NUMBER,DJSCSHA230005238,8,7
EVERGREEN,BOOKING_NUMBER,020300168743,11,11
ONE,CONTAINER_NUMBER,BEAU5261750,34,29
OOCL,CONTAINER_NUMBER,OOLU8083499,37,29
YANGMING,BOOKING_NUMBER,YMFCPH0026790,48,48
EVERGREEN,BOOKING_NUMBER,020300302270,11,11
ONE,CONTAINER_NUMBER,TCKU3763795,34,34
KMTC,BOOKING_NUMBER,JP01033967,22,22
WANHAI,CONTAINER_NUMBER,WHSU2758188,44,44
ONE,CONTAINER_NUMBER,TRHU4988958,34,6
MSC,CONTAINER_NUMBER,MSMU7318319,29,29
MSC,CONTAINER_NUMBER,MSMU6471961,29,29
WANHAI,CONTAINER_NUMBER,CAIU3151804,44,34
WANHAI,BOOKING_NUMBER,114D001455,43,43
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCMJC2200073,30,30
ONE,BOOKING_NUMBER,TYOD46575900,33,33
OOCL,CONTAINER_NUMBER,OOCU8215433,37,34
ONE,CONTAINER_NUMBER,NYKU3767470,34,34
MAERSK,BILL_OF_LOADING_NUMBER,MRKU8205274,24,24
MAERSK,BILL_OF_LOADING_NUMBER,MRKU8205274,24,24
ONE,BOOKING_NUMBER,DACD20421700,33,33
HAPAGLLOYD,BOOKING_NUMBER,71606996,16,16
YANGMING,BOOKING_NUMBER,YMFCPH0026516,48,48
MAERSK,BOOKING_NUMBER,228998708,25,25
COSCO,BILL_OF_LOADING_NUMBER,6364348760,4,5
EVERGREEN,BILL_OF_LOADING_NUMBER,501300024721,10,11
HAPAGLLOYD,BILL_OF_LOADING_NUMBER,HLCUTYO230540418,15,15
ONE,BOOKING_NUMBER,HAMD17601800,33,33
EVERGREEN,BOOKING_NUMBER,020300294315,11,11
WANHAI,CONTAINER_NUMBER,BHCU3232908,44,31
KMTC,BOOKING_NUMBER,JP01038077,22,22
MSC,CONTAINER_NUMBER,MSDU7778426,29,29
MSC,BOOKING_NUMBER,EBKG05553500,28,28
ONE,CONTAINER_NUMBER,TCLU7484081,34,29
ONE,BOOKING_NUMBER,MAAD19342800,33,33
ONE,BOOKING_NUMBER,NGOD06734800,33,33
EVERGREEN,BOOKING_NUMBER,020300375170,11,11
MSC,BILL_OF_LOADING_NUMBER,MEDULZ831123,27,27
NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCSDC2200012,30,30
MAERSK,CONTAINER_NUMBER,MRKU8205274,26,24
HMM,CONTAINER_NUMBER,CAIU7529889,20,29
MSC,CONTAINER_NUMBER,GLDU0453986,29,37
